metric_name,timestamp,datetime,value
huawei.graph_variance,1530174795,2018-06-28 08:33:15,-1
huawei.graph_variance,1530174810,2018-06-28 08:33:30,-1
huawei.graph_variance,1530174900,2018-06-28 08:35:00,-1
huawei.graph_variance,1530175215,2018-06-28 08:40:15,0
huawei.graph_variance,1530175230,2018-06-28 08:40:30,0
huawei.graph_variance,1530175290,2018-06-28 08:41:30,-1
huawei.graph_variance,1530175305,2018-06-28 08:41:45,-1
huawei.graph_variance,1530175500,2018-06-28 08:45:00,3
huawei.graph_variance,1530175635,2018-06-28 08:47:15,-1
huawei.graph_variance,1530175650,2018-06-28 08:47:30,-1
huawei.graph_variance,1530176100,2018-06-28 08:55:00,-1
huawei.graph_variance,1530176370,2018-06-28 08:59:30,-1
huawei.graph_variance,1530176385,2018-06-28 08:59:45,-1
huawei.graph_variance,1530176415,2018-06-28 09:00:15,-1
huawei.graph_variance,1530176430,2018-06-28 09:00:30,-1
huawei.graph_variance,1530176445,2018-06-28 09:00:45,-1
huawei.graph_variance,1530176700,2018-06-28 09:05:00,0
huawei.graph_variance,1530176790,2018-06-28 09:06:30,-1
huawei.graph_variance,1530176805,2018-06-28 09:06:45,-1
huawei.graph_variance,1530177015,2018-06-28 09:10:15,-1
huawei.graph_variance,1530177030,2018-06-28 09:10:30,-1
huawei.graph_variance,1530177135,2018-06-28 09:12:15,-1
huawei.graph_variance,1530177150,2018-06-28 09:12:30,-1
huawei.graph_variance,1530177195,2018-06-28 09:13:15,1
huawei.graph_variance,1530177210,2018-06-28 09:13:30,5
huawei.graph_variance,1530177225,2018-06-28 09:13:45,5
huawei.graph_variance,1530177300,2018-06-28 09:15:00,7
huawei.graph_variance,1530178200,2018-06-28 09:30:00,10
huawei.graph_variance,1530178275,2018-06-28 09:31:15,4
huawei.graph_variance,1530178290,2018-06-28 09:31:30,6
huawei.graph_variance,1530178305,2018-06-28 09:31:45,6
huawei.graph_variance,1530178335,2018-06-28 09:32:15,6
huawei.graph_variance,1530178350,2018-06-28 09:32:30,6
huawei.graph_variance,1530178500,2018-06-28 09:35:00,7
huawei.graph_variance,1530179100,2018-06-28 09:45:00,7
huawei.graph_variance,1530181800,2018-06-28 10:30:00,9
huawei.graph_variance,1530182700,2018-06-28 10:45:00,9
huawei.graph_variance,1530182970,2018-06-28 10:49:30,1
huawei.graph_variance,1530182985,2018-06-28 10:49:45,1
huawei.graph_variance,1530183015,2018-06-28 10:50:15,9
huawei.graph_variance,1530183030,2018-06-28 10:50:30,9
huawei.graph_variance,1530183045,2018-06-28 10:50:45,2
huawei.graph_variance,1530183300,2018-06-28 10:55:00,9
huawei.graph_variance,1530184500,2018-06-28 11:15:00,10
huawei.graph_variance,1530184875,2018-06-28 11:21:15,6
huawei.graph_variance,1530184890,2018-06-28 11:21:30,10
huawei.graph_variance,1530184905,2018-06-28 11:21:45,8
huawei.graph_variance,1530184935,2018-06-28 11:22:15,3
huawei.graph_variance,1530184950,2018-06-28 11:22:30,3
huawei.graph_variance,1530185100,2018-06-28 11:25:00,10
huawei.graph_variance,1530185400,2018-06-28 11:30:00,10
huawei.graph_variance,1530185700,2018-06-28 11:35:00,6
huawei.graph_variance,1530185715,2018-06-28 11:35:15,1
huawei.graph_variance,1530185730,2018-06-28 11:35:30,3
huawei.graph_variance,1530185745,2018-06-28 11:35:45,3
huawei.graph_variance,1530185775,2018-06-28 11:36:15,4
huawei.graph_variance,1530185790,2018-06-28 11:36:30,4
huawei.graph_variance,1530186255,2018-06-28 11:44:15,7
huawei.graph_variance,1530186270,2018-06-28 11:44:30,7
huawei.graph_variance,1530186285,2018-06-28 11:44:45,3
huawei.graph_variance,1530186300,2018-06-28 11:45:00,7
huawei.graph_variance,1530186315,2018-06-28 11:45:15,-1
huawei.graph_variance,1530186330,2018-06-28 11:45:30,-1
huawei.graph_variance,1530186795,2018-06-28 11:53:15,1
huawei.graph_variance,1530186810,2018-06-28 11:53:30,3
huawei.graph_variance,1530186825,2018-06-28 11:53:45,3
huawei.graph_variance,1530186855,2018-06-28 11:54:15,7
huawei.graph_variance,1530186870,2018-06-28 11:54:30,7
huawei.graph_variance,1530186900,2018-06-28 11:55:00,7
huawei.graph_variance,1530187095,2018-06-28 11:58:15,-1
huawei.graph_variance,1530187110,2018-06-28 11:58:30,3
huawei.graph_variance,1530187125,2018-06-28 11:58:45,3
huawei.graph_variance,1530187155,2018-06-28 11:59:15,5
huawei.graph_variance,1530187170,2018-06-28 11:59:30,5
huawei.graph_variance,1530187500,2018-06-28 12:05:00,5
huawei.graph_variance,1530187650,2018-06-28 12:07:30,2
huawei.graph_variance,1530187665,2018-06-28 12:07:45,2
huawei.graph_variance,1530187695,2018-06-28 12:08:15,5
huawei.graph_variance,1530187710,2018-06-28 12:08:30,5
huawei.graph_variance,1530187725,2018-06-28 12:08:45,2
huawei.graph_variance,1530188100,2018-06-28 12:15:00,6
huawei.graph_variance,1530188550,2018-06-28 12:22:30,4
huawei.graph_variance,1530188565,2018-06-28 12:22:45,4
huawei.graph_variance,1530188595,2018-06-28 12:23:15,3
huawei.graph_variance,1530188610,2018-06-28 12:23:30,5
huawei.graph_variance,1530188625,2018-06-28 12:23:45,4
huawei.graph_variance,1530188700,2018-06-28 12:25:00,6
huawei.graph_variance,1530189000,2018-06-28 12:30:00,9
huawei.graph_variance,1530189300,2018-06-28 12:35:00,5
huawei.graph_variance,1530189555,2018-06-28 12:39:15,4
huawei.graph_variance,1530189570,2018-06-28 12:39:30,5
huawei.graph_variance,1530189585,2018-06-28 12:39:45,2
huawei.graph_variance,1530189615,2018-06-28 12:40:15,4
huawei.graph_variance,1530189630,2018-06-28 12:40:30,4
huawei.graph_variance,1530189900,2018-06-28 12:45:00,8
huawei.graph_variance,1530190500,2018-06-28 12:55:00,8
huawei.graph_variance,1530190530,2018-06-28 12:55:30,-1
huawei.graph_variance,1530190545,2018-06-28 12:55:45,-1
huawei.graph_variance,1530190575,2018-06-28 12:56:15,8
huawei.graph_variance,1530190590,2018-06-28 12:56:30,8
huawei.graph_variance,1530190605,2018-06-28 12:56:45,3
huawei.graph_variance,1530191100,2018-06-28 13:05:00,3
huawei.graph_variance,1530191130,2018-06-28 13:05:30,0
huawei.graph_variance,1530191145,2018-06-28 13:05:45,0
huawei.graph_variance,1530191175,2018-06-28 13:06:15,2
huawei.graph_variance,1530191190,2018-06-28 13:06:30,3
huawei.graph_variance,1530191205,2018-06-28 13:06:45,1
huawei.graph_variance,1530191535,2018-06-28 13:12:15,2
