2019-06-06 16:46:10,563; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name more can't be aliased because it is another magic command.
2019-06-06 16:46:10,566; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name less can't be aliased because it is another magic command.
2019-06-06 16:46:10,567; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name man can't be aliased because it is another magic command.
2019-06-06 16:47:58,893; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name clear can't be aliased because it is another magic command.
2019-06-06 16:47:58,894; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name more can't be aliased because it is another magic command.
2019-06-06 16:47:58,896; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name less can't be aliased because it is another magic command.
2019-06-06 16:47:58,897; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name man can't be aliased because it is another magic command.
2019-06-06 16:50:41,708; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name clear can't be aliased because it is another magic command.
2019-06-06 16:50:42,046; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name more can't be aliased because it is another magic command.
2019-06-06 16:50:42,049; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name less can't be aliased because it is another magic command.
2019-06-06 16:50:42,068; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name man can't be aliased because it is another magic command.
2019-06-06 16:51:56,883; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name clear can't be aliased because it is another magic command.
2019-06-06 16:51:56,886; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name more can't be aliased because it is another magic command.
2019-06-06 16:51:56,887; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name less can't be aliased because it is another magic command.
2019-06-06 16:51:56,888; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name man can't be aliased because it is another magic command.
2019-06-07 02:48:11,346; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name clear can't be aliased because it is another magic command.
2019-06-07 02:48:11,413; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name more can't be aliased because it is another magic command.
2019-06-07 02:48:11,416; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name less can't be aliased because it is another magic command.
2019-06-07 02:48:11,418; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name man can't be aliased because it is another magic command.
2019-06-07 02:52:57,047; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name clear can't be aliased because it is another magic command.
2019-06-07 02:52:57,048; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name more can't be aliased because it is another magic command.
2019-06-07 02:52:57,049; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name less can't be aliased because it is another magic command.
2019-06-07 02:52:57,049; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name man can't be aliased because it is another magic command.
2019-06-07 18:58:34,569; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name clear can't be aliased because it is another magic command.
2019-06-07 18:58:34,618; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name more can't be aliased because it is another magic command.
2019-06-07 18:58:34,619; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name less can't be aliased because it is another magic command.
2019-06-07 18:58:34,619; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name man can't be aliased because it is another magic command.
2019-06-07 18:58:34,668; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name clear can't be aliased because it is another magic command.
2019-06-07 18:58:34,669; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name more can't be aliased because it is another magic command.
2019-06-07 18:58:34,670; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name less can't be aliased because it is another magic command.
2019-06-07 18:58:34,670; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name man can't be aliased because it is another magic command.
2019-06-14 02:59:30,312; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name clear can't be aliased because it is another magic command.
2019-06-14 02:59:32,886; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name more can't be aliased because it is another magic command.
2019-06-14 02:59:32,889; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name less can't be aliased because it is another magic command.
2019-06-14 02:59:32,890; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name man can't be aliased because it is another magic command.
2019-06-17 15:24:14,295; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name clear can't be aliased because it is another magic command.
2019-06-17 15:24:14,350; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name more can't be aliased because it is another magic command.
2019-06-17 15:24:14,351; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name less can't be aliased because it is another magic command.
2019-06-17 15:24:14,353; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name man can't be aliased because it is another magic command.
2019-06-20 18:48:58,100; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name clear can't be aliased because it is another magic command.
2019-06-20 18:48:58,262; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name more can't be aliased because it is another magic command.
2019-06-20 18:48:58,351; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name less can't be aliased because it is another magic command.
2019-06-20 18:48:58,427; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name man can't be aliased because it is another magic command.
